   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.132    0.132 timeit.py:164(timeit)
        1    0.000    0.000    0.132    0.132 <timeit-src>:2(inner)
        1    0.000    0.000    0.132    0.132 benchmark.py:92(<lambda>)
        1    0.000    0.000    0.132    0.132 numba_jit_method.py:56(process)
        1    0.000    0.000    0.128    0.128 dispatcher.py:388(_compile_for_args)
        1    0.000    0.000    0.128    0.128 dispatcher.py:915(compile)
        1    0.000    0.000    0.128    0.128 dispatcher.py:124(compile)
        1    0.000    0.000    0.128    0.128 dispatcher.py:131(_compile_cached)
        1    0.000    0.000    0.128    0.128 dispatcher.py:146(_compile_core)
        1    0.000    0.000    0.128    0.128 compiler.py:690(compile_extra)
        1    0.000    0.000    0.127    0.127 compiler.py:446(compile_extra)
        1    0.000    0.000    0.127    0.127 compiler.py:515(_compile_bytecode)
        1    0.000    0.000    0.127    0.127 compiler.py:469(_compile_core)
        1    0.000    0.000    0.127    0.127 compiler_machinery.py:342(run)
       25    0.000    0.000    0.127    0.005 compiler_lock.py:32(_acquire_compile_lock)
       25    0.000    0.000    0.126    0.005 compiler_machinery.py:268(_runPass)
       75    0.000    0.000    0.118    0.002 compiler_machinery.py:272(check)
        1    0.000    0.000    0.079    0.079 typed_passes.py:363(run_pass)
        1    0.000    0.000    0.048    0.048 lowering.py:163(lower)
        1    0.000    0.000    0.032    0.032 lowering.py:214(lower_normal_function)
        1    0.000    0.000    0.032    0.032 lowering.py:231(lower_function_body)
       10    0.000    0.000    0.032    0.003 lowering.py:255(lower_block)
      112    0.000    0.000    0.031    0.000 lowering.py:433(lower_inst)
      406    0.025    0.000    0.028    0.000 ffi.py:149(__call__)
       49    0.000    0.000    0.022    0.000 lowering.py:616(lower_assign)
        3    0.000    0.000    0.022    0.007 codegen.py:723(add_ir_module)
        1    0.000    0.000    0.018    0.018 cpu.py:216(get_executable)
        2    0.000    0.000    0.018    0.009 codegen.py:975(get_pointer_to_function)
      4/3    0.000    0.000    0.018    0.006 codegen.py:565(_ensure_finalized)
        1    0.000    0.000    0.018    0.018 codegen.py:739(finalize)
       23    0.000    0.000    0.016    0.001 lowering.py:1136(lower_expr)
       95    0.000    0.000    0.013    0.000 errors.py:301(_markup)
       95    0.000    0.000    0.012    0.000 errors.py:224(__init__)
       95    0.000    0.000    0.012    0.000 initialise.py:37(init)
      190    0.000    0.000    0.012    0.000 initialise.py:111(wrap_stream)
      190    0.001    0.000    0.011    0.000 ansitowin32.py:81(__init__)
        9    0.000    0.000    0.011    0.001 postproc.py:70(run)
        7    0.000    0.000    0.011    0.002 module.py:233(__repr__)
        7    0.000    0.000    0.011    0.002 module.py:207(_get_body_lines)
       16    0.000    0.000    0.011    0.001 base.py:1189(__call__)
        7    0.000    0.000    0.011    0.002 module.py:212(<listcomp>)
       16    0.000    0.000    0.011    0.001 base.py:1218(wrapper)
        1    0.000    0.000    0.011    0.011 typed_passes.py:98(run_pass)
        1    0.000    0.000    0.011    0.011 typed_passes.py:61(type_inference_stage)
       26    0.000    0.000    0.011    0.000 values.py:1010(__str__)
       26    0.000    0.000    0.011    0.000 values.py:1003(descr)
       79    0.000    0.000    0.011    0.000 errors.py:316(errmsg)
6659/2999    0.003    0.000    0.010    0.000 {method 'format' of 'str' objects}
       55    0.000    0.000    0.010    0.000 errors.py:508(__init__)
        3    0.000    0.000    0.010    0.003 values.py:996(descr_body)
       61    0.000    0.000    0.010    0.000 values.py:1139(descr)
4078/1619    0.001    0.000    0.010    0.000 _utils.py:44(__str__)
       61    0.000    0.000    0.010    0.000 values.py:1141(<listcomp>)
        1    0.000    0.000    0.009    0.009 codegen.py:781(_finalize_final_module)
    68/43    0.000    0.000    0.009    0.000 functools.py:961(__get__)
        1    0.000    0.000    0.009    0.009 codegen.py:667(_optimize_final_module)
        2    0.000    0.000    0.009    0.004 passmanagers.py:206(run)
       28    0.000    0.000    0.009    0.000 cgutils.py:99(__init__)
     1145    0.001    0.000    0.008    0.000 values.py:544(_to_string)
        2    0.000    0.000    0.008    0.004 registry.py:54(apply)
        1    0.000    0.000    0.008    0.008 codegen.py:996(_finalize_specific)
        4    0.000    0.000    0.008    0.002 lowering.py:762(lower_getitem)
        1    0.000    0.000    0.008    0.008 typeinfer.py:1067(propagate)
        2    0.000    0.000    0.008    0.004 typeinfer.py:142(propagate)
       14    0.000    0.000    0.007    0.001 arrayobj.py:72(_make_refs)
        4    0.000    0.000    0.007    0.002 codegen.py:1058(wrapper)
        1    0.000    0.000    0.007    0.007 executionengine.py:87(finalize_object)
        1    0.000    0.000    0.007    0.007 lowering.py:268(create_cpython_wrapper)
        1    0.000    0.000    0.007    0.007 cpu.py:175(create_cpython_wrapper)
       28    0.000    0.000    0.007    0.000 pprint.py:57(pformat)
    44/30    0.000    0.000    0.007    0.000 base.py:529(get_function)
       28    0.000    0.000    0.007    0.000 pprint.py:155(pformat)
7864/1600    0.005    0.000    0.007    0.000 ir.py:313(_rec_list_vars)
   663/28    0.001    0.000    0.007    0.000 pprint.py:167(_format)
      190    0.000    0.000    0.007    0.000 winterm.py:178(enable_vt_processing)
     1346    0.000    0.000    0.007    0.000 ir.py:346(list_vars)
        4    0.000    0.000    0.006    0.002 arrayobj.py:441(getitem_arraynd_intp)
        1    0.000    0.000    0.006    0.006 untyped_passes.py:79(run_pass)
        1    0.000    0.000    0.006    0.006 interpreter.py:1299(interpret)
      380    0.001    0.000    0.006    0.000 win32.py:114(winapi_test)
        8    0.000    0.000    0.006    0.001 module.py:11(parse_assembly)
        1    0.000    0.000    0.006    0.006 untyped_passes.py:224(run_pass)
      685    0.000    0.000    0.005    0.000 {built-in method builtins.any}
       10    0.001    0.000    0.005    0.001 analysis.py:23(compute_use_defs)
        3    0.000    0.000    0.005    0.002 codegen.py:732(add_llvm_module)
       27    0.000    0.000    0.005    0.000 functions.py:281(get_call_type)
     1140    0.000    0.000    0.005    0.000 win32.py:115(<genexpr>)
        3    0.000    0.000    0.005    0.002 codegen.py:651(_optimize_functions)
    69/37    0.000    0.000    0.005    0.000 base.py:503(get_constant_generic)
      760    0.005    0.000    0.005    0.000 win32.py:108(_winapi_test)
        9    0.000    0.000    0.005    0.001 postproc.py:41(usedefs)
      102    0.000    0.000    0.005    0.000 context.py:336(_call_incref_decref)
     1109    0.001    0.000    0.004    0.000 instructions.py:13(__init__)
       27    0.000    0.000    0.004    0.000 pprint.py:205(_pprint_dict)
        4    0.000    0.000    0.004    0.001 arrayobj.py:2985(constant_array)
        4    0.000    0.000    0.004    0.001 base.py:1028(make_constant_array)
     1263    0.001    0.000    0.004    0.000 pprint.py:453(_repr)
      126    0.000    0.000    0.004    0.000 base.py:41(find)
       26    0.000    0.000    0.004    0.000 typeinfer.py:580(resolve)
       43    0.000    0.000    0.004    0.000 context.py:374(resolve_value_type)
        1    0.000    0.000    0.004    0.004 lowering.py:281(create_cfunc_wrapper)
        1    0.000    0.000    0.004    0.004 cpu.py:186(create_cfunc_wrapper)
        1    0.004    0.004    0.004    0.004 numba_jit_method.py:70(numba_jit_method)
       28    0.000    0.000    0.004    0.000 base.py:48(_find)
    50736    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
       44    0.000    0.000    0.004    0.000 typeof.py:32(typeof)
       10    0.000    0.000    0.004    0.000 ir.py:1473(infer_constant)
    11/10    0.000    0.000    0.004    0.000 consts.py:24(infer_constant)
  334/102    0.001    0.000    0.004    0.000 context.py:319(get_meminfos)
        1    0.000    0.000    0.004    0.004 typed_passes.py:219(run_pass)
       20    0.000    0.000    0.004    0.000 typeinfer.py:699(__call__)
       11    0.000    0.000    0.004    0.000 errors.py:670(__init__)
     1340    0.001    0.000    0.004    0.000 values.py:537(__init__)
       30    0.000    0.000    0.004    0.000 context.py:189(resolve_function_type)
2412/1263    0.001    0.000    0.004    0.000 pprint.py:462(format)
2389/2255    0.001    0.000    0.004    0.000 {built-in method builtins.next}
       26    0.000    0.000    0.004    0.000 typeinfer.py:1517(resolve_call)
        4    0.000    0.000    0.004    0.001 arrayobj.py:420(_getitem_array_generic)
       30    0.000    0.000    0.004    0.000 context.py:233(_resolve_user_function_type)
       27    0.001    0.000    0.004    0.000 pprint.py:376(_format_dict_items)
2412/1263    0.001    0.000    0.003    0.000 pprint.py:550(_safe_repr)
        8    0.000    0.000    0.003    0.000 consts.py:56(_do_infer)
       96    0.000    0.000    0.003    0.000 ir.py:862(__str__)
        1    0.000    0.000    0.003    0.003 untyped_passes.py:192(run_pass)
        1    0.000    0.000    0.003    0.003 callwrapper.py:101(build)
        1    0.000    0.000    0.003    0.003 callwrapper.py:126(build_wrapper)
        9    0.000    0.000    0.003    0.000 postproc.py:51(deadmaps)
        1    0.000    0.000    0.003    0.003 untyped_passes.py:1691(run_pass)
     1356    0.001    0.000    0.003    0.000 values.py:557(_set_name)
        8    0.000    0.000    0.003    0.000 ir.py:1011(__str__)
        8    0.000    0.000    0.003    0.000 arrayprint.py:1575(_array_str_implementation)
        8    0.000    0.000    0.003    0.000 arrayprint.py:561(array2string)
       62    0.000    0.000    0.003    0.000 context.py:360(decref)
        8    0.000    0.000    0.003    0.000 arrayprint.py:506(wrapper)
       52    0.000    0.000    0.003    0.000 lowering.py:1462(delvar)
        8    0.000    0.000    0.003    0.000 arrayprint.py:523(_array2string)
       26    0.000    0.000    0.003    0.000 passmanagers.py:283(run)
        1    0.000    0.000    0.003    0.003 typeinfer.py:1036(build_constraint)
       59    0.000    0.000    0.003    0.000 typeinfer.py:1384(constrain_statement)
2963/2944    0.001    0.000    0.003    0.000 _utils.py:54(get_reference)
       60    0.000    0.000    0.003    0.000 lowering.py:1518(decref)
       48    0.000    0.000    0.003    0.000 typeinfer.py:1451(typeof_assign)
      285    0.002    0.000    0.003    0.000 win32.py:170(GetConsoleMode)
    84/76    0.000    0.000    0.003    0.000 ir_utils.py:1520(guard)
        5    0.000    0.000    0.003    0.001 arrayobj.py:342(basic_indexing)
        4    0.000    0.000    0.003    0.001 ir.py:111(strformat)
      143    0.000    0.000    0.003    0.000 cgutils.py:893(gep_inbounds)
        2    0.000    0.000    0.003    0.001 lowering.py:692(lower_binop)
      692    0.000    0.000    0.003    0.000 ir.py:594(list_vars)
       12    0.000    0.000    0.002    0.000 static_getitem.py:13(match)
      135    0.000    0.000    0.002    0.000 templates.py:349(apply)
      143    0.000    0.000    0.002    0.000 cgutils.py:900(gep)
        3    0.000    0.000    0.002    0.001 ir.py:597(infer_constant)
       24    0.000    0.000    0.002    0.000 misc.py:61(literal)
     1356    0.001    0.000    0.002    0.000 _utils.py:16(register)
      318    0.000    0.000    0.002    0.000 builder.py:967(extract_value)
        1    0.000    0.000    0.002    0.002 ir.py:1554(dump_to_string)
  586/519    0.000    0.000    0.002    0.000 contextlib.py:130(__enter__)
        1    0.000    0.000    0.002    0.002 ir.py:1528(dump)
       10    0.000    0.000    0.002    0.000 ir.py:1254(dump)
      121    0.000    0.000    0.002    0.000 cgutils.py:142(_get_ptr_by_index)
       15    0.000    0.000    0.002    0.000 base.py:264(refresh)
  697/599    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
       46    0.000    0.000    0.002    0.000 cgutils.py:362(alloca_once)
        7    0.000    0.000    0.002    0.000 typeinfer.py:1557(typeof_global)
      406    0.000    0.000    0.002    0.000 ffi.py:73(__exit__)
        1    0.000    0.000    0.002    0.002 lowering.py:571(lower_setitem)
        9    0.000    0.000    0.002    0.000 postproc.py:45(livemap)
        1    0.000    0.000    0.002    0.002 ssa.py:26(reconstruct_ssa)
      228    0.000    0.000    0.002    0.000 cgutils.py:158(__setattr__)
        1    0.000    0.000    0.002    0.002 ssa.py:47(_run_ssa)
       40    0.000    0.000    0.002    0.000 context.py:354(incref)
        9    0.000    0.000    0.002    0.000 analysis.py:60(compute_live_map)
        2    0.000    0.000    0.002    0.001 arrayobj.py:404(make_view)
       18    0.000    0.000    0.002    0.000 analysis.py:71(fix_point)
        2    0.000    0.000    0.002    0.001 rangeobj.py:89(getiter_range32_impl)
        1    0.000    0.000    0.002    0.002 inline_closurecall.py:82(run)
        6    0.000    0.000    0.002    0.000 arrayobj.py:181(populate_array)
      458    0.000    0.000    0.002    0.000 event.py:404(end_event)
      318    0.000    0.000    0.002    0.000 instructions.py:642(__init__)
      916    0.000    0.000    0.002    0.000 event.py:209(broadcast)
      406    0.000    0.000    0.002    0.000 ffi.py:67(__enter__)
      406    0.000    0.000    0.002    0.000 base.py:1249(exit_fn)
       12    0.000    0.000    0.002    0.000 arrayobj.py:92(shape)
        1    0.000    0.000    0.002    0.002 typed_passes.py:520(run_pass)
        2    0.000    0.000    0.002    0.001 rangeobj.py:102(from_range_state)
        1    0.000    0.000    0.002    0.002 typed_passes.py:461(run_pass)
       60    0.000    0.000    0.002    0.000 cgutils.py:173(__setitem__)
        1    0.000    0.000    0.002    0.002 ir_utils.py:2213(check_and_legalize_ir)
     1325    0.001    0.000    0.002    0.000 _utils.py:24(deduplicate)
       10    0.000    0.000    0.002    0.000 static_getitem.py:147(match)
       18    0.000    0.000    0.002    0.000 typeinfer.py:1471(resolve_value_type)
      164    0.000    0.000    0.002    0.000 models.py:709(getter)
      543    0.000    0.000    0.002    0.000 manager.py:33(__getitem__)
       23    0.000    0.000    0.002    0.000 typed_passes.py:661(_do_work_expr)
       28    0.000    0.000    0.002    0.000 cgutils.py:124(_make_refs)
       49    0.000    0.000    0.002    0.000 lowering.py:1416(storevar)
        3    0.000    0.000    0.001    0.000 postproc.py:157(_insert_var_dels)
        3    0.000    0.000    0.001    0.000 postproc.py:178(_patch_var_dels)
      552    0.000    0.000    0.001    0.000 manager.py:22(lookup)
      148    0.000    0.000    0.001    0.000 builder.py:922(gep)
2387/2374    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
      178    0.000    0.000    0.001    0.000 models.py:629(get)
      458    0.000    0.000    0.001    0.000 event.py:390(start_event)
        2    0.000    0.000    0.001    0.001 imputils.py:148(res)
        8    0.000    0.000    0.001    0.000 arrayprint.py:780(_formatArray)
        2    0.000    0.000    0.001    0.001 arrayobj.py:2516(array_shape)
    344/8    0.001    0.000    0.001    0.000 arrayprint.py:789(recurser)
       32    0.000    0.000    0.001    0.000 lowering.py:1512(incref)
      406    0.000    0.000    0.001    0.000 base.py:1246(enter_fn)
      185    0.000    0.000    0.001    0.000 builder.py:769(store)
        1    0.000    0.000    0.001    0.001 arrayobj.py:483(setitem_array)
       49    0.000    0.000    0.001    0.000 cgutils.py:149(__getattr__)
        1    0.000    0.000    0.001    0.001 interpreter.py:1361(post_process)
      469    0.000    0.000    0.001    0.000 types.py:77(__call__)
        1    0.000    0.000    0.001    0.001 typed_passes.py:787(run_pass)
        1    0.000    0.000    0.001    0.001 callwrapper.py:20(add_arg)
      596    0.000    0.000    0.001    0.000 weakref.py:415(__getitem__)
       21    0.000    0.000    0.001    0.000 typed_passes.py:604(_get_callable_info)
       49    0.000    0.000    0.001    0.000 cgutils.py:166(__getitem__)
        5    0.000    0.000    0.001    0.000 cgutils.py:694(get_item_pointer)
       15    0.000    0.000    0.001    0.000 cpu.py:68(load_additional_registries)
       71    0.000    0.000    0.001    0.000 utils.py:311(order_by_target_specificity)
       72    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       14    0.000    0.000    0.001    0.000 misc.py:76(maybe_literal)
       21    0.000    0.000    0.001    0.000 typed_passes.py:606(get_func_type)
       10    0.000    0.000    0.001    0.000 lowering.py:1529(_lit_or_omitted)
        6    0.000    0.000    0.001    0.000 typeinfer.py:570(__call__)
      148    0.000    0.000    0.001    0.000 instructions.py:509(__init__)
        4    0.000    0.000    0.001    0.000 base.py:1005(populate_array)
      864    0.000    0.000    0.001    0.000 event.py:243(notify)
      148    0.000    0.000    0.001    0.000 instructions.py:531(descr)
        8    0.000    0.000    0.001    0.000 arrayprint.py:452(_get_format_function)
       24    0.000    0.000    0.001    0.000 analysis.py:235(compute_cfg_from_blocks)
4355/4339    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        9    0.000    0.000    0.001    0.000 analysis.py:118(compute_dead_maps)
     1080    0.000    0.000    0.001    0.000 templates.py:1307(new_registrations)
        8    0.000    0.000    0.001    0.000 arrayprint.py:411(<lambda>)
        8    0.000    0.000    0.001    0.000 arrayprint.py:907(__init__)
       92    0.000    0.000    0.001    0.000 module.py:220(__next__)
        1    0.000    0.000    0.001    0.001 byteflow.py:78(run)
        8    0.000    0.000    0.001    0.000 arrayprint.py:934(fillFormat)
        1    0.000    0.000    0.001    0.001 untyped_passes.py:118(run_pass)
        1    0.000    0.000    0.001    0.001 lowering.py:29(__init__)
       12    0.000    0.000    0.001    0.000 npydecl.py:202(generic)
        9    0.000    0.000    0.001    0.000 transforms.py:353(canonicalize_cfg)
        9    0.000    0.000    0.001    0.000 transforms.py:283(canonicalize_cfg_single_backedge)
      914    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
  586/519    0.000    0.000    0.001    0.000 contextlib.py:139(__exit__)
        1    0.000    0.000    0.001    0.001 ssa.py:145(_find_defs_violators)
       12    0.000    0.000    0.001    0.000 npydecl.py:98(generic)
      120    0.000    0.000    0.001    0.000 base.py:355(install_registry)
        2    0.000    0.000    0.001    0.000 callconv.py:116(raise_error)
1398/1014    0.001    0.000    0.001    0.000 abstract.py:117(__hash__)
      144    0.000    0.000    0.001    0.000 builder.py:756(load)
        1    0.000    0.000    0.001    0.001 pythonapi.py:1390(to_native_value)
        3    0.000    0.000    0.001    0.000 consts.py:73(_infer_expr)
        2    0.000    0.000    0.001    0.000 imputils.py:333(wrapper)
        1    0.000    0.000    0.001    0.001 boxing.py:466(unbox_array)
        1    0.000    0.000    0.001    0.001 lowering.py:336(init)
        1    0.000    0.000    0.001    0.001 lowering.py:349(_find_singly_assigned_variable)
      610    0.000    0.000    0.001    0.000 values.py:445(__init__)
       49    0.000    0.000    0.001    0.000 targetconfig.py:196(values)
    70/68    0.000    0.000    0.001    0.000 abstract.py:60(__call__)
       38    0.000    0.000    0.001    0.000 builder.py:297(if_then)
      185    0.000    0.000    0.001    0.000 instructions.py:431(__init__)
       95    0.001    0.000    0.001    0.000 win32.py:177(SetConsoleMode)
       49    0.000    0.000    0.001    0.000 targetconfig.py:199(<dictcomp>)
        2    0.000    0.000    0.001    0.000 pprint.py:469(_pprint_default_dict)
      101    0.000    0.000    0.001    0.000 lowering.py:1373(_alloca_var)
2391/2341    0.000    0.000    0.001    0.000 {built-in method builtins.repr}
